spc_latin,genus,kingdom,phylum,clazz,order,family
Quercus alba,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Acer saccharum,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Eucommia ulmoides,Eucommia,Plantae,Tracheophyta,Equisetopsida,Garryales,Eucommiaceae
Betula papyrifera,Betula,Plantae,Tracheophyta,Equisetopsida,Fagales,Betulaceae
Amelanchier,Amelanchier,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae
Paulownia tomentosa,Paulownia,Plantae,Tracheophyta,Equisetopsida,Lamiales,Paulowniaceae
Morus,Morus,Plantae,Tracheophyta,Equisetopsida,Rosales,Moraceae
Taxodium distichum,Taxodium,Plantae,Tracheophyta,Equisetopsida,Pinales,Cupressaceae
Picea,Picea,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Aesculus hippocastanum,Aesculus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Halesia diptera,Halesia,Plantae,Tracheophyta,Equisetopsida,Ericales,Styracaceae
Populus deltoides,Populus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Salicaceae
Koelreuteria paniculata,Koelreuteria,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Cedrus deodara,Cedrus,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Acer truncatum,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Cornus florida,Cornus,Plantae,Tracheophyta,Equisetopsida,Cornales,Cornaceae
Pinus rigida,Pinus,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Pinus resinosa,Pinus,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Prunus serotina,Prunus,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae
Cornus kousa,Cornus,Plantae,Tracheophyta,Equisetopsida,Cornales,Cornaceae
Magnolia acuminata,Magnolia,Plantae,Tracheophyta,Equisetopsida,Magnoliales,Magnoliaceae
Cladrastis kentukea,Cladrastis,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae
Celtis occidentalis,Celtis,Plantae,Tracheophyta,Equisetopsida,Rosales,Cannabaceae
Cedrus atlantica,Cedrus,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Salix babylonica,Salix,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Salicaceae
Lagerstroemia,Lagerstroemia,Plantae,Tracheophyta,Equisetopsida,Myrtales,Lythraceae
Carpinus betulus,Carpinus,Plantae,Tracheophyta,Equisetopsida,Fagales,Betulaceae
Quercus imbricaria,Quercus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Carpinus japonica,Carpinus,Plantae,Tracheophyta,Equisetopsida,Fagales,Betulaceae
Taxodium ascendens,Taxodium,Plantae,Tracheophyta,Equisetopsida,Pinales,Cupressaceae
Pinus strobus,Pinus,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Populus tremuloides,Populus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Salicaceae
Styrax japonicus,Styrax,Plantae,Tracheophyta,Equisetopsida,Ericales,Styracaceae
Magnolia,Magnolia,Plantae,Tracheophyta,Equisetopsida,Magnoliales,Magnoliaceae
Fagus sylvatica,Fagus,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Acer griseum,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Chamaecyparis pisifera,Chamaecyparis,Plantae,Tracheophyta,Equisetopsida,Pinales,Cupressaceae
Populus grandidentata,Populus,Plantae,Tracheophyta,Equisetopsida,Malpighiales,Salicaceae
Thuja occidentalis,Thuja,Plantae,Tracheophyta,Equisetopsida,Pinales,Cupressaceae
Nyssa sylvatica,Nyssa,Plantae,Tracheophyta,Equisetopsida,Cornales,Nyssaceae
Cornus alternifolia,Cornus,Plantae,Tracheophyta,Equisetopsida,Cornales,Cornaceae
Acer buergerianum,Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Castanea mollissima,Castanea,Plantae,Tracheophyta,Equisetopsida,Fagales,Fagaceae
Carya glabra,Carya,Plantae,Tracheophyta,Equisetopsida,Fagales,Juglandaceae
Betula nigra,Betula,Plantae,Tracheophyta,Equisetopsida,Fagales,Betulaceae
Liriodendron tulipifera,Liriodendron,Plantae,Tracheophyta,Equisetopsida,Magnoliales,Magnoliaceae
Ailanthus altissima,Ailanthus,Plantae,Tracheophyta,Equisetopsida,Sapindales,Simaroubaceae
Syringa pekinensis,Syringa,Plantae,Tracheophyta,Equisetopsida,Lamiales,Oleaceae
Magnolia grandiflora,Magnolia,Plantae,Tracheophyta,Equisetopsida,Magnoliales,Magnoliaceae
Cercis reniformis,Cercis,Plantae,Tracheophyta,Equisetopsida,Fabales,Fabaceae
Pinus,Pinus,Plantae,Tracheophyta,Equisetopsida,Pinales,Pinaceae
Acer platanoides 'Crimson King',Acer,Plantae,Tracheophyta,Equisetopsida,Sapindales,Sapindaceae
Crataegus crusgalli var. inermis,Crataegus,Plantae,Tracheophyta,Equisetopsida,Rosales,Rosaceae
